ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
11,Animal Messenger,Enchantment,Compulsion,mind-affecting,"bard 2, druid 2, ranger 1",1 minute,"V, S, M (a morsel of food the animal likes)",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One Tiny animal,1 day/level,0,0,None; see text,Yes,"You compel a Tiny animal to go to a spot you designate. The most common use for this spell is to get an animal to carry a message to your allies. The animal cannot be one tamed or trained by someone else, including such creatures as familiars and animal c","<p>You compel a Tiny animal to go to a spot you designate. The most common use for this spell is to get an animal to carry a message to your allies. The animal cannot be one tamed or trained by someone else, including such creatures as familiars and anima",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animal Messenger </p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 2, druid 2, ranger 1</h5><h5><b>Ca",1,1,1,0,0,NULL,NULL,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,Sends a Tiny animal to a specific place.,6,NULL,6,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/a/animal-messenger
12,Animal Shapes,Transmutation,Polymorph,NULL,druid 8,1 standard action,"V, S, DF",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"Up to one willing creature per level, all within 30 ft. of each other.",1 hour/level,1,0,None; see text,Yes (harmless),"As beast shape III, except you change the form of up to one willing creature per caster level into an animal of your choice; the spell has no effect on unwilling creatures. All creatures must take the same kind of animal form. Recipients remain in the ani","<p>As <i>beast shape III</i>, except you change the form of up to one willing creature per caster level into an animal of your choice; the spell has no effect on unwilling creatures. All creatures must take the same kind of animal form. Recipients remain ",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animal Shapes</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation (polymorph); <b>Level </b>druid 8</h5><h5><b>Casting Time </b>1 standard action</h5><,1,1,0,0,1,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,"animal, scalykind",One ally/level polymorphs into chosen animal.,120,NULL,NULL,NULL,120,NULL,3000,6000,90000,http://www.d20pfsrd.com/magic/all-spells/a/animal-shapes
13,Animal Trance,Enchantment,Compulsion,"mind-affecting, sonic","bard 2, druid 2",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,Animals or magical beasts with Intelligence 1 or 2,Concentration,0,0,Will negates,Yes,"Your swaying motions and music (or singing, or chanting) compel animals and magical beasts to do nothing but watch you. Only a creature with an Intelligence score of 1 or 2 can be fascinated by this spell. Roll 2d6 to determine the total number of HD wort","<p>Your swaying motions and music (or singing, or chanting) compel animals and magical beasts to do nothing but watch you. Only a creature with an Intelligence score of 1 or 2 can be fascinated by this spell. Roll 2d6 to determine the total number of HD w",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animal Trance</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting, sonic]; <b>Level </b>bard 2, druid 2</h5><h5><b>Casting T",1,1,0,0,0,NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,scalykind,Fascinates 2d6 HD of animals.,6,NULL,6,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/a/animal-trance
14,Animate Dead,Necromancy,NULL,evil,"cleric 3, sorcerer/wizard 4, antipaladin 3",1 standard action,"V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)",1,Touch,NULL,NULL,One or more corpses touched,Instantaneous,0,0,None,No,"This spell turns corpses into undead skeletons or zombies that obey your spoken commands. The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the place. They","<p>This spell turns corpses into undead skeletons or zombies that obey your spoken commands.</p><p>The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the pl",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animate Dead</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy [evil]; <b>Level </b>cleric 3, sorcerer/wizard 4, antipaladin 3</h5><h5><b>Casting Time <",1,1,1,0,0,4,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,4,"night, souls",Creates undead skeletons and zombies.,15,32,NULL,21,15,250,625,1000,23750,http://www.d20pfsrd.com/magic/all-spells/a/animate-dead
15,Animate Objects,Transmutation,NULL,NULL,"bard 6, cleric 6, witch 6",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,NULL,One Small object per caster level; see text,1 round/level,0,0,None,No,You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate. An animated object can be of any nonmagical material. You may animate one Small or smaller ,<p>You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate.</p><p>An animated object can be of any nonmagical material. You may animate one Small or,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animate Objects</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>bard 6, cleric 6, witch 6</h5><h5><b>Casting Time </b>1 standard acti",1,1,0,0,0,NULL,NULL,6,NULL,NULL,6,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,6,chaos,Objects attack your foes.,66,NULL,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/a/animate-objects
16,Animate Plants,Transmutation,NULL,NULL,druid 7,1 standard action,V,0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One Large plant per three caster levels or all plants within range; see text,1 round/level or 1 hour/level; see text,0,0,None,No,You imbue inanimate plants with mobility and a semblance of life. Each animated plant then immediately attacks whomever or whatever you initially designate as though it were an animated object of the appropriate size category. You may animate one Large or,<p>You imbue inanimate plants with mobility and a semblance of life. Each animated plant then immediately attacks whomever or whatever you initially designate as though it were an animated object of the appropriate size category. You may animate one Large,PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animate Plants</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 7</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Compo,1,0,0,0,0,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,plant,One or more plants animate and fight for you.,91,NULL,NULL,NULL,91,NULL,2275,4550,68250,http://www.d20pfsrd.com/magic/all-spells/a/animate-plants
17,Animate Rope,Transmutation,NULL,NULL,"bard 1, sorcerer/wizard 1",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,NULL,"One rope-like object, length up to 50 ft. + 5 ft./level; see text",1 round/level,0,0,None,No,"You can animate a nonliving rope-like object. The maximum length assumes a rope with a 1-inch diameter. Reduce the maximum length by 50% for every additional inch of thickness, and increase it by 50% for each reduction of the rope's diameter by half.  The","<p>You can animate a nonliving rope-like object. The maximum length assumes a rope with a 1-inch diameter. Reduce the maximum length by 50% for every additional inch of thickness, and increase it by 50% for each reduction of the rope's diameter by half.</",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Animate Rope </p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>bard 1, sorcerer/wizard 1</h5><h5><b>Casting Time </b>1 standard action",1,1,0,0,0,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,artifice,Makes a rope move at your command.,1,1,1,NULL,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/a/animate-rope
18,Antilife Shell,Abjuration,NULL,NULL,"cleric 6, druid 6",1 round,"V, S, DF",0,10 ft.,"10-ft.-radius emanation, centered on you",NULL,NULL,1 min./level,1,0,None,Yes,"You bring into being a mobile, hemispherical energy field that prevents the entrance of most types of living creatures.  The effect hedges out animals, aberrations, dragons, fey, giants, humanoids, magical beasts, monstrous humanoids, oozes, plants, and v","<p>You bring into being a mobile, hemispherical energy field that prevents the entrance of most types of living creatures.</p><p>The effect hedges out animals, aberrations, dragons, fey, giants, humanoids, magical beasts, monstrous humanoids, oozes, plant",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Antilife Shell</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 6, druid 6</h5><h5><b>Casting Time </b>1 round</h5><h5><b>Componen",1,1,0,0,1,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,"animal, souls",10-ft.-radius field hedges out living creatures.,66,NULL,NULL,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/a/antilife-shell
19,Antimagic Field,Abjuration,NULL,NULL,"cleric 8, sorcerer/wizard 6",1 standard action,"V, S, M/DF (pinch of powdered iron or iron filings)",0,10 ft.,"10-ft.-radius emanation, centered on you",NULL,NULL,10 min./level,1,0,None,See text,"An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or spe","<p>An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Antimagic Field</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 8, sorcerer/wizard 6</h5><h5><b>Casting Time </b>1 standard actio",1,1,1,0,1,6,6,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,"magic, protection",Negates magic within 10 ft.,66,72,NULL,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/a/antimagic-field
20,Antipathy,Enchantment,Compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, witch 8, summoner 6",1 hour,"V, S, M/DF (a lump of alum soaked in vinegar)",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One location (up to a 10-ft. cube/level) or one object,2 hours/level,1,0,Will partial,Yes,"You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creature s","<p>You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creatur",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Antipathy</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting, emotion]; <b>Level </b>druid 9, sorcerer/wizard 8, summoner 6",1,1,1,0,1,8,8,NULL,9,NULL,NULL,NULL,NULL,6,8,NULL,NULL,NULL,NULL,NULL,8,NULL,Object or location affected by spell repels certain creatures.,120,128,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/a/antipathy
21,Antiplant Shell,Abjuration,NULL,NULL,druid 4,1 standard action,"V, S, DF",0,10 ft.,"10-ft.-radius emanation, centered on you",NULL,NULL,1 min./level,1,0,None,Yes,"The antiplant shell spell creates an invisible, mobile barrier that keeps all creatures within the shell protected from attacks by plant creatures or animated plants. As with many abjuration spells, forcing the barrier against creatures that the spell kee","<p>The <i>antiplant shell</i> spell creates an invisible, mobile barrier that keeps all creatures within the shell protected from attacks by plant creatures or animated plants. As with many abjuration spells, forcing the barrier against creatures that the",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Antiplant Shell</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>druid 4</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Compone,1,1,0,0,1,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,Keeps animated plants at bay.,28,NULL,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/a/antiplant-shell
22,Arcane Eye,Divination,Scrying,NULL,"sorcerer/wizard 4, witch 4, alchemist 4",10 minutes,"V, S, M (a bit of bat fur)",0,Unlimited,NULL,Magical sensor,NULL,1 min./level,1,0,None,No,"You create an invisible magical sensor that sends you visual information. You can create the arcane eye at any point you can see, but it can then travel outside your line of sight without hindrance. An arcane eye travels at 30 feet per round (300 feet per","<p>You create an invisible magical sensor that sends you visual information. You can create the <i>arcane eye</i> at any point you can see, but it can then travel outside your line of sight without hindrance. An <i>arcane eye</i> travels at 30 feet per ro",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Arcane Eye </p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination (scrying); <b>Level </b>sorcerer/wizard 4, alchemist 4, witch 4</h5><h5><b>Casting Time </",1,1,1,0,0,4,4,NULL,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,4,arcane,Invisible floating eye moves 30 ft./round.,28,32,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/a/arcane-eye
23,Arcane Lock,Abjuration,NULL,NULL,sorcerer/wizard 2,1 standard action,"V, S, M (gold dust worth 25 gp)",1,Touch,NULL,NULL,"Door, chest, or portal touched, up to 30 sq. ft./level in size",Permanent,0,0,None,No,"An arcane lock spell cast upon a door, chest, or portal magically locks it. You can freely pass your own arcane lock without affecting it. If the locked object has a lock, the DC to open that lock increases by 10 while it remains attached to the object. I","<p>An <i>arcane lock</i> spell cast upon a door, chest, or portal magically locks it. You can freely pass your own arcane lock without affecting it. If the locked object has a lock, the DC to open that lock increases by 10 while it remains attached to the",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Arcane Lock</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>sorcerer/wizard 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>C,1,1,1,0,0,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,wards,Magically locks a portal or chest.,6,8,NULL,NULL,6,25,175,325,5750,http://www.d20pfsrd.com/magic/all-spells/a/arcane-lock
